,onset_npt,sensor,onset_t[ms],onset_d_ref[mm]
fb03-087__0088,465,OL22,      0.0365,       226.3
fb03-087__0129,468,OL22,      0.0368,      228.16
fb03-087__0031,471,OL22,      0.0371,      230.02
fb03-087__0095,466,OL22,      0.0366,      226.92
fb03-087__0020,466,OL22,      0.0366,      226.92
fb03-087__0111,467,OL22,      0.0367,      227.54
fb03-087__0099,470,OL22,       0.037,       229.4
fb03-087__0072,469,OL22,      0.0369,      228.78
fb03-087__0076,460,OL22,       0.036,       223.2
fb03-087__0120,469,OL22,      0.0369,      228.78
fb03-087__0077,463,OL22,      0.0363,      225.06
fb03-087__0027,469,OL22,      0.0369,      228.78
fb03-087__0018,466,OL22,      0.0366,      226.92
fb03-087__0061,469,OL22,      0.0369,      228.78
fb03-087__0131,460,OL22,       0.036,       223.2
fb03-087__0100,466,OL22,      0.0366,      226.92
fb03-087__0109,467,OL22,      0.0367,      227.54
fb03-087__0004,469,OL22,      0.0369,      228.78
fb03-087__0062,468,OL22,      0.0368,      228.16
fb03-087__0089,468,OL22,      0.0368,      228.16
fb03-087__0085,465,OL22,      0.0365,       226.3
fb03-087__0052,468,OL22,      0.0368,      228.16
fb03-087__0050,471,OL22,      0.0371,      230.02
fb03-087__0075,466,OL22,      0.0366,      226.92
fb03-087__0055,469,OL22,      0.0369,      228.78
fb03-087__0038,464,OL22,      0.0364,      225.68
fb03-087__0069,464,OL22,      0.0364,      225.68
fb03-087__0040,461,OL22,      0.0361,      223.82
fb03-087__0043,467,OL22,      0.0367,      227.54
fb03-087__0059,457,OL22,      0.0357,      221.34
fb03-087__0102,462,OL22,      0.0362,      224.44
fb03-087__0118,461,OL22,      0.0361,      223.82
fb03-087__0044,462,OL22,      0.0362,      224.44
fb03-087__0024,458,OL22,      0.0358,      221.96
fb03-087__0049,457,OL22,      0.0357,      221.34
fb03-087__0019,457,OL22,      0.0357,      221.34
fb03-087__0110,452,OL22,      0.0352,      218.24
fb03-087__0030,452,OL22,      0.0352,      218.24
fb03-087__0081,455,OL22,      0.0355,       220.1
fb03-087__0009,457,OL22,      0.0357,      221.34
fb03-087__0037,459,OL22,      0.0359,      222.58
fb03-087__0021,464,OL22,      0.0364,      225.68
fb03-087__0126,458,OL22,      0.0358,      221.96
fb03-087__0128,467,OL22,      0.0367,      227.54
