gougeevent_id,stickslip_id,exprID,origin_time,X,Y,V,Vs,dx_best,dy_best,slipvelocity[mm/s],M0_best,slip,eventtiming
4,3,fb03-087,42.47477226,1.7475,0.00505,6200,3600,0,-0.0002,1.05136385641161,0.592346601,0,1
9,5,fb03-087,47.66269341,1.7425,0.00375,6200,3600,0,0,1.28397656184672,0.0482921375,0,0
18,8,fb03-087,56.72704421,1.746,0.00375,6200,3600,0,0,2.74801882074648,0.752489495,0,0
19,9,fb03-087,59.10317481,1.7425,0.003,6200,3600,0,0,2.0432470677829,0.0557700884,0,0
20,9,fb03-087,59.10352595,1.746,0.00325,6200,3600,0,0.001,2.63272172626508,0.872770112,0,0
21,10,fb03-087,63.75229995,1.747,0.00425,6200,3600,0,0,0.690246180485729,0.0216348822,0,0
24,11,fb03-087,66.18694386,1.742,0.00425,6200,3600,0,0,1.37736410698167,0.0654095662,0,0
27,14,fb03-087,76.01847775,1.746,0.00245,6200,3600,0,0.0002,0.676073278591119,0.758707857,0,0
30,15,fb03-087,79.31984989,1.7505,0.01,6200,3600,0,0,2.79036903196605,0.0510847561,0,0
31,15,fb03-087,79.32009303,1.7445,0.00695,6200,3600,0,-0.0008,3.3227841277421,0.972493149,0,0
37,17,fb03-087,85.98748076,1.7545,0.00275,6200,3600,0,0,1.13060916856365,0.0240714351,0,0
38,17,fb03-087,85.98854365,1.744,0.0005,6200,3600,0,-0.002,1.3351545832071,0.273191554,0,0
40,18,fb03-087,91.3008389,1.745,-0.0019,6200,3600,0,0.0006,0.861735138296837,0.202119735,0,0
43,18,fb03-087,91.31113376,1.749,0.00425,6200,3600,-0.0005,0,1.17259605557222,0.186353642,0,1
44,19,fb03-087,94.40733748,1.742,-0.00125,6200,3600,0,0,1.29298333326383,0.0684772017,0,0
49,21,fb03-087,100.59554237,1.742,0.00325,6200,3600,0,0,1.35728972189347,0.0601720086,0,0
50,21,fb03-087,100.5958589,1.7475,0.00225,6200,3600,0,0,1.67091584699939,0.328525308,0,0
52,21,fb03-087,100.60336415,1.7445,0.00535,6200,3600,0,-0.0004,1.10917706371735,0.481651836,0,1
55,23,fb03-087,108.95682766,1.752,0.00175,6200,3600,0,0,2.97865645869244,0.276950491,0,0
59,25,fb03-087,116.23727944,1.742,0.00375,6200,3600,0,0,1.33177275786824,0.107903582,0,0
61,25,fb03-087,116.24031616,1.7465,0.0035,6200,3600,0,0.001,2.00474066624111,0.738798359,0,0
62,26,fb03-087,120.7783635,1.7465,0.00525,6200,3600,0,0,1.2522981037559,0.584158085,0,1
69,27,fb03-087,123.92171733,1.7445,0.0003,6200,3600,0,0.0008,0.0160613578052137,0.262226993,0,1
72,29,fb03-087,130.7345489,1.7465,0.005,6200,3600,0,0,1.40630126854213,0.806464317,0,0
75,31,fb03-087,138.54831321,1.746,-0.00075,6200,3600,0,0,2.58402175287147,0.348652219,0,0
76,31,fb03-087,138.54952552,1.745,0.00125,6200,3600,0,0,4.68289909842585,0.766297765,0,1
77,31,fb03-087,138.55082272,1.747,0.0045,6200,3600,0,0,3.43519579647856,0.780726793,0,1
81,33,fb03-087,146.53695619,1.7405,0.00225,6200,3600,0,0,1.05083459754167,0.0517574527,0,0
85,34,fb03-087,151.699233,1.743,-0.00275,6200,3600,0,0,0.847070238376138,0.482598241,0,0
88,35,fb03-087,161.09723646,1.747,0.00525,6200,3600,0,0,2.32898365181092,1.23430449,0,0
89,35,fb03-087,161.12012935,1.746,0.00225,6200,3600,0,0,0.252578300797134,0.488300613,0,1
95,37,fb03-087,167.28680558,1.746,0.00525,6200,3600,0,0,1.36017939624561,0.905171817,0,0
99,39,fb03-087,175.38555241,1.746,0.00375,6200,3600,0,0,2.81957178461457,0.854276576,0,0
100,39,fb03-087,175.39123172,1.7455,0.0035,6200,3600,0,0,1.3280542375795,0.69794075,0,1
102,40,fb03-087,178.95463471,1.7465,0.003,6200,3600,0,0,1.34912866177099,0.0822588973,0,1
109,42,fb03-087,190.16055048,1.7465,0.00635,6200,3600,0,-0.0004,1.23912616866965,0.69312544,0,1
110,43,fb03-087,193.77200751,1.755,0.001,6200,3600,0,0,1.41475548900866,0.0535936748,0,0
111,43,fb03-087,193.78424901,1.7455,0.005,6200,3600,0,0,1.14794377150046,0.858300533,0,1
118,46,fb03-087,211.10241937,1.743,-0.0015,6200,3600,0,0,0.812425583359568,0.0765717621,0,1
120,49,fb03-087,225.89071842,1.747,0.004,6200,3600,0,0,1.12858888830558,0.790242165,0,1
126,52,fb03-087,235.63152471,1.744,-0.0005,6200,3600,0,0,0.964444269901732,0.0169162424,0,0
128,53,fb03-087,241.51293952,1.748,0.00625,6200,3600,0,0,0.0685469212703628,0.0130365926,0,1
129,54,fb03-087,245.07106458,1.7435,0.00125,6200,3600,0,0,0.927968956083433,1.13026941,0,0
131,55,fb03-087,248.90204364,1.743,0,6200,3600,0,0,1.83742549937917,0.718358374,0,0
