,VR_P_best,M0_best,TR_best,rake_best
fb03-087__0004,    0.89,    0.57,    3.30,0
fb03-087__0009,    0.73,    0.05,    3.10,0
fb03-087__0018,    0.87,    0.61,    3.50,0
fb03-087__0019,    0.79,    0.05,    3.10,0
fb03-087__0020,    0.89,    0.77,    3.30,0
fb03-087__0021,    0.88,    0.02,    3.00,0
fb03-087__0024,    0.84,    0.06,    3.10,0
fb03-087__0027,    0.91,    0.77,    3.30,0
fb03-087__0030,    0.59,    0.06,    3.30,0
fb03-087__0031,    0.90,    0.90,    3.20,0
fb03-087__0037,    0.41,    0.03,    3.80,0
fb03-087__0038,    0.87,    0.29,    2.80,0
fb03-087__0040,    0.90,    0.25,    2.80,0
fb03-087__0043,    0.82,    0.20,    3.20,0
fb03-087__0044,    0.85,    0.07,    3.20,0
fb03-087__0049,    0.31,    0.04,    2.90,0
fb03-087__0050,    0.89,    0.33,    3.50,0
fb03-087__0052,    0.88,    0.45,    3.40,0
fb03-087__0055,    0.91,    0.36,    3.30,0
fb03-087__0059,    0.77,    0.08,    3.60,0
fb03-087__0061,    0.91,    0.71,    3.30,0
fb03-087__0062,    0.89,    0.57,    3.30,0
fb03-087__0069,    0.91,    0.33,    2.90,0
fb03-087__0072,    0.92,    0.77,    3.30,0
fb03-087__0075,    0.77,    0.29,    3.00,0
fb03-087__0076,    0.58,    0.36,    2.80,0
fb03-087__0077,    0.82,    0.57,    3.00,0
fb03-087__0081,    0.59,    0.05,    3.10,0
fb03-087__0085,    0.90,    0.53,    2.90,0
fb03-087__0088,    0.83,    0.97,    3.10,0
fb03-087__0089,    0.90,    0.53,    3.30,0
fb03-087__0095,    0.88,    0.77,    3.40,0
fb03-087__0099,    0.80,    0.61,    3.60,0
fb03-087__0100,    0.77,    0.45,    3.10,0
fb03-087__0102,    0.69,    0.10,    3.30,0
fb03-087__0109,    0.70,    0.42,    3.00,0
fb03-087__0110,    0.32,    0.06,    3.70,0
fb03-087__0111,    0.69,    0.45,    3.00,0
fb03-087__0118,    0.84,    0.10,    2.80,0
fb03-087__0120,    0.81,    0.57,    3.40,0
fb03-087__0126,    0.88,    0.02,    2.80,0
fb03-087__0128,    0.84,    0.01,    3.10,0
fb03-087__0129,    0.88,    0.97,    3.30,0
fb03-087__0131,    0.85,    0.66,    2.70,0
